site,net,date_time_set,depth,date-time_pull,x,y,notes
NTS,NTSLTrap10,5/22/2023 18:14,9.5,5/23/2023 7:19,-119.6192217,40.18287667,stayed in place without a weight????
NTS,NTSLTrap20,5/22/2023 18:33,19.7,5/23/2023 6:10,-119.616095,40.17512833,
NTS,NTSLTrap30,5/22/2023 18:37,27,5/23/2023 5:58,-119.6142517,40.16796167,
PLQ,PLQLTrap10,5/24/2023 17:15,7.4,5/25/2023 6:29,,,
PLQ,PLQLTrap20,5/24/2023 17:16,15.7,5/25/2023 6:29,-119.684645,40.08759167,"no light in it, didnt take a sample"
TAM,TAMLTrap10,6/9/2023 17:35,8,6/10/2023 8:39,-119.5389783,39.91405333,
TAM,TAMLTrap20,6/9/2023 17:34,18,6/10/2023 8:32,-119.5384533,39.91436,weight off again
TAM,TAMLTrap30,6/9/2023 17:39,25.6,6/10/2023 8:26,-119.535015,39.91617667,
PYR,PYRLTrap10,6/12/2023 18:25,9,6/13/2023 10:03,,,
PYR,PYRLTrap20,6/12/2023 18:24,17,6/13/2023 10:05,-119.497015,39.96719667,
PYR,PYRLTrap30,6/12/2023 18:28,28,6/13/2023 10:11,-119.499875,39.96793333,
ABY,ABYLTrap10,6/14/2023 17:25,7.8,6/15/2023 17:16,,,
ABY,ABYLTrap20,6/14/2023 17:24,19.8,6/15/2023 17:11,,,
ABY,ABYLTrap30,6/14/2023 17:27,28.7,6/15/2023 17:09,,,
PLQ2,PLQ2LTrap10,6/23/2023 17:09,1.4,6/24/2023 11:04,-119.675245,40.04977667,
PLQ2,PLQLTrap20,6/23/2023 17:10,2,6/24/2023 11:04,-119.67523,40.04978667,
PLQ2,PLQ2LTrap30,6/23/2023 17:11,4.5,6/24/2023 10:56,,,
HEK,HEKLTrap10,6/28/2023 20:19,1.8,6/29/2023 11:30,-119.5133583,40.14611333,
HEK,HEKLTrap20,6/28/2023 20:19,2,6/29/2023 11:30,-119.5134833,40.14611667,
HEK,HEKLTrap30,6/28/2023 20:20,6,6/29/2023 11:22,-119.5138817,40.14604,
PYR2,PYR2LTrap10,6/29/2023 20:09,1.8,6/30/2023 9:49,-119.4600233,39.933595,"nothing, did not take a sample"
PYR2,PYR2LTrap20,6/29/2023 20:09,2,6/30/2023 9:47,-119.4600333,39.93359,
PYR2,PYR2LTrap30,6/29/2023 20:11,5.8,6/30/2023 9:45,-119.462085,39.93227167,
DAG,DAGLTrap10,6/30/2023 20:13,1.5,7/1/2023 7:14,-119.41518,39.90520333,"light trap opened, sample lost"
DAG,DAGLTrap20,6/30/2023 20:14,1.7,7/1/2023 7:14,-119.4156417,39.905195,
DAG,DAGLTrap30,6/30/2023 20:16,5.2,7/1/2023 7:14,-119.4189183,39.90409833,
PLQ3,PLQ3LTrap10,7/1/2023 19:33,1.9,7/2/2023 10:35,-119.7016617,40.12952333,no fish
PLQ3,PLQ3LTrap20,7/1/2023 19:33,2.2,7/2/2023 10:33,-119.7013567,40.12942833,no fish
PLQ3,PLQ3LTrap30,7/1/2023 19:33,2.5,7/2/2023 10:30,-119.7012117,40.129305,
BLH,BLHLTrap10,7/4/2023 19:15,3.2,7/5/2023 9:47,-119.4814283,39.86608167,
BLH,BLHLTrap20,7/4/2023 19:16,3.2,7/5/2023 9:48,-119.4814317,39.86608167,
BLH,BLHLTrap30,7/4/2023 19:17,3.8,7/5/2023 9:49,-119.481435,39.86608167,
