site,year,file_name,net_type,toggle,nets_surveyed,not_surveyed,distance_to_net_2022_m,date,notes
PEP,2023,tui20230617_135525.dt4,core,1,"10,20",,,,
PEP,2023,tui20230617_134717.dt4,exp,1,"3,4,5,6,7,8,9,10,11,12","1,2",,,
PEP3,2023,tui20230805_122542.dt4,exp,1,"1,2,3,4,5,6,7,8",,,,
PEP3,2023,tui20230805_121546.dt4,exp,2,"9,10,11,12",,,,
PEP3,2023,tui20230805_120934.dt4,core,1,"10,20",,,,
PLQ2,2023,tui20230706_120046.dt4,exp,1,"4,5,6,7,8,9,10,11,12","1,2,3",,,
PLQ2,2023,tui20230706_122214.dt4,core,1,"10,20",,,,
PLQ,2023,tui20230617_083305.dt4,exp,1,"3,4,5,6,7,8,9,10,11,12","1,2",,,
PLQ,2023,tui20230617_085432.dt4,core,1,"10,20",,,,
PLQ3,2023,tui20230706_124604.dt4,core,1,"10,20",,,,
PLQ3,2023,tui20230706_132030.dt4,exp,1,"3,4,5,6,7,8,9,10,11,12","1,2",,,
NTS3,2023,tui20230804_181653.dt4,exp,1,"4,5,6,7,8,9,10,11,12","1,2,3",,,
NTS3,2023,tui20230804_175248.dt4,core,1,"10,20",,,,"actual attempted file, very broken, probably a highly edited bottom"
NTS3,2023,tui20220805_134859.dt4,core,1,20,,,,"close transect from last year, could use for substrate, no veg there"
NTS,2023,tui20230617_095248.dt4,core,1,"10,20",,,,
NTS,2023,tui20230617_093207.dt4,exp,1,"1,4,5,6,7,8,9,10,11,12","2,3",,,
NTS2,2023,tui20230804_172406.dt4,core,1,"10,20",,,,
NTS2,2023,tui20230804_171003.dt4,exp,1,"3,4,5,6,7,8,9,10,11,12","1,2",,,
NTS2,2023,tui20230804_170004.dt4,exp,1,,,,,
HEK,2023,tui20230706_141254.dt4,exp,1,"3,4,5,6,7,8,9,10,11,12","1,2",,,
HEK,2023,tui20230706_142745.dt4,core,1,"10,20",,,,
ABY,2023,tui20230617_105239.dt4,exp,1,"1,4,5,6,7,8,9,10,11,12","2,3",,,
ABY,2023,tui20230617_104723.dt4,core,1,"10,20",,,,
PYR3,2023,tui20230804_162332.dt4,exp,1,"1,4,5,6,7,8,9,10,11,12","2,3",,,
PYR3,2023,tui20230804_161715.dt4,core,1,"10,20",,,,
PYR,2023,tui20230617_114701.dt4,exp,1,"1,4,5,6,7,8,9,10,11,12","2,3",,,
PYR,2023,tui20230617_113614.dt4,core,1,"10,20",,,,
PYR2,2023,tui20230709_124601.dt4,exp,1,"2,4,5,6,7,8,9,10,11,12","1,3",,,
PYR2,2023,tui20230709_130723.dt4,core,1,"10,20",,,,
DAG3,2023,tui20230804_153740.dt4,core,1,"10,20",,,,
DAG3,2023,tui20230804_151902.dt4,exp,1,"2,4,5,6,7,8,9,10,11,12","1,3",,,
DAG,2023,tui20230709_133424.dt4,core,1,"10,20",,,,
DAG,2023,tui20230709_135859.dt4,exp,1,"1,4,5,6,7,8,9,10,11,12","2,3",,,
BLH3,2023,tui20230804_145221.dt4,exp,1,"4,5,7,8,9,10,11,12","1,2,3,6",,,
BLH3,2023,tui20230804_144525.dt4,core,1,"10,20",,,,
BLH,2023,tui20230709_144801.dt4,exp,1,"4,5,6,7,8,9,10,11,12","1,2,3",,,
BLH,2023,tui20230709_150035.dt4,exp,1,"1,2,3,4,5,6,8,11,12","7,9,10",,,
BLH,2023,tui20230709_144437.dt4,core,1,"10,20",,,,
BLH2,2023,tui20230617_122342.dt4,exp,1,"1,2,4,5,6,7,8,9,10,11,12",3,,,
BLH2,2023,tui20230617_121423.dt4,core,1,"10,20",,,,
TAM,2023,tui20230617_125827.dt4,exp,1,"2,4,5,6","1,3",,,
TAM,2023,tui20230617_124956.dt4,exp,1,"7,8,9,10,11,12",,,,
TAM,2023,tui20230617_124325.dt4,core,1,"10,20",,,,
TAM3,2023,tui20230804_141958.dt4,core,1,"10,20",,,,
TAM3,2023,tui20230804_135823.dt4,exp,1,"1,4,5,6,7,8,9,10,11,12","2,3",,,
PEP2,2023,tui20230706_111354.dt4,core,1,"10,20",,,,
PEP2,2023,tui20230706_112111.dt4,exp,1,"7,9,10,11,12,8,4",,,,
PEP2,2023,tui20230706_113159.dt4,exp,2,"8&4, maybe 1-3 and 5&6",,,,
PEP,2022,tui20220803_122606.dt4,core,1,"10,20,30",,292.48,,
PEP,2022,tui20220803_124239.dt4,core,1,"10,20,30",,1144.46,,
PLQ,2022,tui20220804_071752.dt4,core,1,"10,20,30",,0,,
NTS,2022,tui20220806_134638.dt4,core,1,"10,20,30",,0,,
HEK,2022,tui20220807_105132.dt4,core,1,"10,20,30",,355.35,,
ABY,2022,tui20220807_132307.dt4,core,1,"10,20,30",,,,
ABY,2022,tui20220807_134553.dt4,core,1,"10,20",,,,
PYR,2022,tui20220807_172421.dt4,core,1,"10,20,30",,,,
DAG,2022,tui20220717_083114.dt4,core,1,"10,20,30",,,6/22/2022,
DAG,2022,tui20220717_075829.dt4,core,1,"10,20",,,7/25/2022,
DAG,2022,tui20220717_063500.dt4,core,1,30,,,7/25/2022,
BLH,2022,tui20220624_094957.dt4,core,1,"10,20",,,7/30/2022,
BLH,2022,tui20220624_095932.dt4,core,1,"10,20,30",,,6/26/2022,
TAM,2022,tui20220624_123027.dt4,core,1,"10,20,30",,,,
TAM,2022,tui20220624_124142.dt4,core,1,"10,20,30",,,,
